site,ID,sex,resscore,resscore.extra
78,1,f,4,
78,2,m,5,+
78,29,m,2,
78,30,m,2,
78,31,f,2,
78,32,f,2,
78,33,,1,+
84,3,m,3,+
84,34,f,2,
84,35,m,2,
84,36,f,2,
84,37,f,2,
84,38,f,2,
84,39,f,2,
84,40,m,2,
84,41,f,1,+
84,42,f,1,+
84,43,m,1,+
94,4,m,7,+
94,5,m,3,+
94,44,f,2,
94,45,m,2,
94,46,f,2,
94,47,m,2,
94,48,m,2,
94,49,f,2,
94,50,f,2,
94,51,m,2,
94,52,f,1,+
94,53,f,1,+
94,54,m,1,+
99,6,m,6,
99,7,m,6,
99,8,m,7,+
99,9,m,7,+
99,10,m,7,+
99,11,f,7,+
99,12,f,4,
99,13,f,3,+
99,25,f,7,+
99,55,f,2,
99,56,f,2,
99,57,m,2,
99,58,m,2,
99,59,m,2,
99,60,m,2,
99,61,NA,2,
99,62,m,2,
99,63,m,2,
99,64,m,2,
99,65,m,2,
99,66,m,2,
99,67,f,1,+
99,68,m,1,+
99,69,m,1,+
99,70,m,1,+
99,71,m,1,+
99,72,m,1,+
107,14,f,5,+
107,15,f,5,+
107,16,m,3,+
107,73,f,2,
107,74,m,2,
107,75,f,2,
107,76,m,2,
107,77,f,1,+
107,78,m,1,+
107,79,m,1,+
107,80,m,1,+
108,17,m,6,
108,18,f,6,
108,19,f,7,+
108,20,f,3,+
108,21,f,3,+
108,81,f,2,
108,82,f,2,
108,83,f,2,
108,84,m,2,
108,85,f,2,
108,86,f,2,
108,87,f,2,
108,88,f,2,
108,89,m,2,
108,90,f,1,+
108,91,f,1,+
108,92,f,1,+
E3,22,f,5,+
E3,23,m,3,+
E3,93,m,2,
F5,24,m,4,
F5,29,f,4,
F5,94,m,2,
F5,95,m,2,
F5,96,NA,2,
F5,97,NA,2,
F5,98,f,2,
F5,99,m,2,
F5,100,f,2,
F5,101,f,1,+
F5,102,m,1,+
F5,103,m,1,+
F5,104,m,1,+
New2,26,f,7,+
New2,27,f,4,
New2,28,f,7,+
New2,105,f,2,
New2,106,m,2,
New2,107,NA,1,+
New2,108,f,1,+
New2,109,m,1,+
71,110,f,2,
71,111,f,2,
71,112,m,2,
73,113,m,1,+
73,114,m,1,+
73,115,m,1,+
73,116,m,1,+
73,117,m,1,+
86,118,m,2,
86,119,f,1,+
90,NA,NA,0,
102,NA,NA,0,
108,NA,NA,0,
F4,120,m,2,
F4,121,m,2,
F4,122,m,1,+
